Model name                            : MLP
The number of input features          : 2
The number of output features         : 1
Optimizer name                        : Adam
Learning rate                         : 0.001
Max number of iterations              : 3000
Number of samples in training data    : 858
Number of samples in tests data       : 368
Total training time                   : 6.591044902801514
Total number of parameters            : 101001
Percentage of parameters < 1e-9       : 49.719309709804854%
Percentage of parameters < 1e-7       : 49.719309709804854%
Percentage of parameters < 1e-6       : 49.719309709804854%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 1.0072807453491277
Loss at iteration [2]: 0.778469281456991
Loss at iteration [3]: 0.5995972468831002
Loss at iteration [4]: 0.4513060921316482
Loss at iteration [5]: 0.3178808987327037
Loss at iteration [6]: 0.19970554320760234
Loss at iteration [7]: 0.10384476838308677
Loss at iteration [8]: 0.0389514402629253
Loss at iteration [9]: 0.013933162495313586
Loss at iteration [10]: 0.031513017911886036
***** Warning: Loss has increased *****
Loss at iteration [11]: 0.07105593404104636
***** Warning: Loss has increased *****
Loss at iteration [12]: 0.10058049977512847
***** Warning: Loss has increased *****
Loss at iteration [13]: 0.10321929187652926
***** Warning: Loss has increased *****
Loss at iteration [14]: 0.08227637566666347
Loss at iteration [15]: 0.051590184830076144
Loss at iteration [16]: 0.024723747315106594
Loss at iteration [17]: 0.010148229994990442
Loss at iteration [18]: 0.00886191377002359
Loss at iteration [19]: 0.016619640925159548
***** Warning: Loss has increased *****
Loss at iteration [20]: 0.02711565269050057
***** Warning: Loss has increased *****
Loss at iteration [21]: 0.034810266988350026
***** Warning: Loss has increased *****
Loss at iteration [22]: 0.036765073632868635
***** Warning: Loss has increased *****
Loss at iteration [23]: 0.032982712882601455
Loss at iteration [24]: 0.02530949214121781
Loss at iteration [25]: 0.016555530624258862
Loss at iteration [26]: 0.009199042321901899
Loss at iteration [27]: 0.005099628301018053
Loss at iteration [28]: 0.004909142594716313
Loss at iteration [29]: 0.007439920149422931
***** Warning: Loss has increased *****
Loss at iteration [30]: 0.010791747887307634
***** Warning: Loss has increased *****
Loss at iteration [31]: 0.013216941138318604
***** Warning: Loss has increased *****
Loss at iteration [32]: 0.013667132559313549
***** Warning: Loss has increased *****
Loss at iteration [33]: 0.012095989951608328
Loss at iteration [34]: 0.009246242388294934
Loss at iteration [35]: 0.006236385920998144
Loss at iteration [36]: 0.004086668154760279
Loss at iteration [37]: 0.0033489017897511517
Loss at iteration [38]: 0.0039491039614519075
***** Warning: Loss has increased *****
Loss at iteration [39]: 0.005244063665237219
***** Warning: Loss has increased *****
Loss at iteration [40]: 0.006426336057287503
***** Warning: Loss has increased *****
Loss at iteration [41]: 0.006911285230975271
***** Warning: Loss has increased *****
Loss at iteration [42]: 0.006517468141016742
Loss at iteration [43]: 0.005468781318462337
Loss at iteration [44]: 0.0042169697223267515
Loss at iteration [45]: 0.003240379556862462
Loss at iteration [46]: 0.002836515390214827
Loss at iteration [47]: 0.003005696828345865
***** Warning: Loss has increased *****
Loss at iteration [48]: 0.00350523370120948
***** Warning: Loss has increased *****
Loss at iteration [49]: 0.003998742645086315
***** Warning: Loss has increased *****
Loss at iteration [50]: 0.004218158371429213
***** Warning: Loss has increased *****
Loss at iteration [51]: 0.004072215956541049
Loss at iteration [52]: 0.0036530498437843456
Loss at iteration [53]: 0.0031587989136212095
Loss at iteration [54]: 0.0027886366282634583
Loss at iteration [55]: 0.002664196695844178
Loss at iteration [56]: 0.002783879860119905
***** Warning: Loss has increased *****
Loss at iteration [57]: 0.0030260594999513843
***** Warning: Loss has increased *****
Loss at iteration [58]: 0.003220506155864168
***** Warning: Loss has increased *****
Loss at iteration [59]: 0.0032530342959612496
***** Warning: Loss has increased *****
Loss at iteration [60]: 0.0031167259992337633
Loss at iteration [61]: 0.002893654451314903
Loss at iteration [62]: 0.002694860634907771
Loss at iteration [63]: 0.002599339723768529
Loss at iteration [64]: 0.002617729413309273
***** Warning: Loss has increased *****
Loss at iteration [65]: 0.002705430478828554
***** Warning: Loss has increased *****
Loss at iteration [66]: 0.0027944142389389735
***** Warning: Loss has increased *****
Loss at iteration [67]: 0.002829578053400495
***** Warning: Loss has increased *****
Loss at iteration [68]: 0.0027929519692812253
Loss at iteration [69]: 0.0027065464609746753
Loss at iteration [70]: 0.002614617923633172
Loss at iteration [71]: 0.002558291573968909
Loss at iteration [72]: 0.002554404594270918
Loss at iteration [73]: 0.002589691574090527
***** Warning: Loss has increased *****
Loss at iteration [74]: 0.002632672716826298
***** Warning: Loss has increased *****
Loss at iteration [75]: 0.002653278481052531
***** Warning: Loss has increased *****
Loss at iteration [76]: 0.002639258926973714
Loss at iteration [77]: 0.0025999124100821534
Loss at iteration [78]: 0.0025569595106223813
Loss at iteration [79]: 0.002530411416696435
Loss at iteration [80]: 0.002527921915803303
Loss at iteration [81]: 0.002542977074515475
***** Warning: Loss has increased *****
Loss at iteration [82]: 0.0025610878222173715
***** Warning: Loss has increased *****
Loss at iteration [83]: 0.0025689230211970522
***** Warning: Loss has increased *****
Loss at iteration [84]: 0.002561280600932193
Loss at iteration [85]: 0.0025426050428976697
Loss at iteration [86]: 0.002523043318621325
Loss at iteration [87]: 0.0025119289176282274
Loss at iteration [88]: 0.0025123311813842818
***** Warning: Loss has increased *****
Loss at iteration [89]: 0.002520242682748899
***** Warning: Loss has increased *****
Loss at iteration [90]: 0.0025279472022398477
***** Warning: Loss has increased *****
Loss at iteration [91]: 0.002529317301301334
***** Warning: Loss has increased *****
Loss at iteration [92]: 0.0025233142237708933
Loss at iteration [93]: 0.0025135970117399326
Loss at iteration [94]: 0.0025054118076842696
Loss at iteration [95]: 0.00250216847907392
Loss at iteration [96]: 0.0025038062727221833
***** Warning: Loss has increased *****
Loss at iteration [97]: 0.0025075042027366402
***** Warning: Loss has increased *****
Loss at iteration [98]: 0.0025097653675057612
***** Warning: Loss has increased *****
Loss at iteration [99]: 0.002508590748509623
Loss at iteration [100]: 0.002504479695956494
Loss at iteration [101]: 0.002499654257601822
Loss at iteration [102]: 0.0024965513286231192
Loss at iteration [103]: 0.002496151371418287
Loss at iteration [104]: 0.002497532316663559
***** Warning: Loss has increased *****
Loss at iteration [105]: 0.002498840927579205
***** Warning: Loss has increased *****
Loss at iteration [106]: 0.0024986623920750482
Loss at iteration [107]: 0.002496821118233649
Loss at iteration [108]: 0.002494289316788457
Loss at iteration [109]: 0.002492239239011039
Loss at iteration [110]: 0.0024913971122084585
Loss at iteration [111]: 0.002491603785545469
***** Warning: Loss has increased *****
Loss at iteration [112]: 0.0024921058860561626
***** Warning: Loss has increased *****
Loss at iteration [113]: 0.002492053136140851
Loss at iteration [114]: 0.0024911248317372047
Loss at iteration [115]: 0.002489684825365154
Loss at iteration [116]: 0.0024883790838601564
Loss at iteration [117]: 0.002487686362859067
Loss at iteration [118]: 0.002487566956067809
Loss at iteration [119]: 0.0024876273271424287
***** Warning: Loss has increased *****
Loss at iteration [120]: 0.002487444363388665
Loss at iteration [121]: 0.0024868495254677524
Loss at iteration [122]: 0.0024859935275299808
Loss at iteration [123]: 0.0024851652896633086
Loss at iteration [124]: 0.0024846037610614822
Loss at iteration [125]: 0.0024843390163240024
Loss at iteration [126]: 0.002484192710514595
Loss at iteration [127]: 0.002483937895181984
Loss at iteration [128]: 0.0024834632972581265
Loss at iteration [129]: 0.002482839884275305
Loss at iteration [130]: 0.002482244907279165
Loss at iteration [131]: 0.0024818033480786153
Loss at iteration [132]: 0.002481511388235754
Loss at iteration [133]: 0.0024812629518586754
Loss at iteration [134]: 0.002480944120253152
Loss at iteration [135]: 0.002480517281808357
Loss at iteration [136]: 0.0024800384980956645
Loss at iteration [137]: 0.0024795965295632792
Loss at iteration [138]: 0.002479235461509125
Loss at iteration [139]: 0.0024789396249336477
Loss at iteration [140]: 0.0024786516922701758
Loss at iteration [141]: 0.002478318968819059
Loss at iteration [142]: 0.002477938091664729
Loss at iteration [143]: 0.0024775418069064863
Loss at iteration [144]: 0.002477180251221913
Loss at iteration [145]: 0.002476859390300751
Loss at iteration [146]: 0.0024765583334205284
Loss at iteration [147]: 0.0024762517244180456
Loss at iteration [148]: 0.0024759277778244756
Loss at iteration [149]: 0.0024755784007906944
Loss at iteration [150]: 0.002475235410542479
Loss at iteration [151]: 0.002474917378580254
Loss at iteration [152]: 0.002474622326015507
Loss at iteration [153]: 0.002474333791823153
Loss at iteration [154]: 0.0024740391072732276
Loss at iteration [155]: 0.002473745522248914
Loss at iteration [156]: 0.0024734600955043586
Loss at iteration [157]: 0.0024731807393496186
Loss at iteration [158]: 0.0024729079249124234
Loss at iteration [159]: 0.0024726468287898195
Loss at iteration [160]: 0.002472382698884093
Loss at iteration [161]: 0.002472107882024935
Loss at iteration [162]: 0.0024718238266211246
Loss at iteration [163]: 0.0024715372725490977
Loss at iteration [164]: 0.0024712567209102193
Loss at iteration [165]: 0.0024709837099510246
Loss at iteration [166]: 0.0024707070064488254
Loss at iteration [167]: 0.0024704243389196325
Loss at iteration [168]: 0.0024701510978614857
Loss at iteration [169]: 0.0024698866681136205
Loss at iteration [170]: 0.00246961936311034
Loss at iteration [171]: 0.0024693504238204873
Loss at iteration [172]: 0.002469078471421787
Loss at iteration [173]: 0.002468803693243486
Loss at iteration [174]: 0.0024685286944373425
Loss at iteration [175]: 0.0024682598059226424
Loss at iteration [176]: 0.002467984202079099
Loss at iteration [177]: 0.0024677191711341448
Loss at iteration [178]: 0.0024674645946681085
Loss at iteration [179]: 0.0024672025840001294
Loss at iteration [180]: 0.00246693764954019
