Model name                            : MLP_Large
The number of input features          : 2
The number of output features         : 1
Optimizer name                        : Adam
Learning rate                         : 0.0001
Max number of iterations              : 3000
Number of samples in training data    : 858
Number of samples in tests data       : 368
Total training time                   : 27.10777497291565
Total number of parameters            : 402001
Percentage of parameters < 1e-9       : 49.679975920457906%
Percentage of parameters < 1e-7       : 49.679975920457906%
Percentage of parameters < 1e-6       : 49.68047343165813%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 1.0821790046185182
Loss at iteration [2]: 0.9810548794761123
Loss at iteration [3]: 0.8878172840017611
Loss at iteration [4]: 0.8035161505898948
Loss at iteration [5]: 0.7283426768938911
Loss at iteration [6]: 0.6588924678827884
Loss at iteration [7]: 0.595314635171249
Loss at iteration [8]: 0.5370623798674528
Loss at iteration [9]: 0.4830734189353959
Loss at iteration [10]: 0.43355735276332047
Loss at iteration [11]: 0.3878943384125007
Loss at iteration [12]: 0.34572987340672584
Loss at iteration [13]: 0.30647650877867455
Loss at iteration [14]: 0.2698127066235204
Loss at iteration [15]: 0.2354085787911734
Loss at iteration [16]: 0.20325455350967123
Loss at iteration [17]: 0.17343474052909658
Loss at iteration [18]: 0.14620367169895657
Loss at iteration [19]: 0.12168873747740852
Loss at iteration [20]: 0.09979396090792532
Loss at iteration [21]: 0.08068806786363591
Loss at iteration [22]: 0.0641693835734817
Loss at iteration [23]: 0.05016868419144762
Loss at iteration [24]: 0.038638739334878165
Loss at iteration [25]: 0.029456080195742914
Loss at iteration [26]: 0.022516092800523777
Loss at iteration [27]: 0.017683590406870335
Loss at iteration [28]: 0.014713737622322429
Loss at iteration [29]: 0.013309266397362424
Loss at iteration [30]: 0.01314688006561411
Loss at iteration [31]: 0.013882791955037468
***** Warning: Loss has increased *****
Loss at iteration [32]: 0.015162470710226753
***** Warning: Loss has increased *****
Loss at iteration [33]: 0.016648679088259184
***** Warning: Loss has increased *****
Loss at iteration [34]: 0.018075603596208602
***** Warning: Loss has increased *****
Loss at iteration [35]: 0.019224384698858125
***** Warning: Loss has increased *****
Loss at iteration [36]: 0.019926224709222215
***** Warning: Loss has increased *****
Loss at iteration [37]: 0.020064367634660584
***** Warning: Loss has increased *****
Loss at iteration [38]: 0.01958158891591647
Loss at iteration [39]: 0.018507902153497496
Loss at iteration [40]: 0.016923543419384585
Loss at iteration [41]: 0.014964004308059489
Loss at iteration [42]: 0.012803704905964884
Loss at iteration [43]: 0.010657459745820318
Loss at iteration [44]: 0.008719187857291543
Loss at iteration [45]: 0.007135570048469079
Loss at iteration [46]: 0.005999640873734848
Loss at iteration [47]: 0.005333969173142809
Loss at iteration [48]: 0.005095531928280597
Loss at iteration [49]: 0.005192713662720517
***** Warning: Loss has increased *****
Loss at iteration [50]: 0.005481894095263256
***** Warning: Loss has increased *****
Loss at iteration [51]: 0.005819975154495506
***** Warning: Loss has increased *****
Loss at iteration [52]: 0.006097991852811782
***** Warning: Loss has increased *****
Loss at iteration [53]: 0.0062356691216662275
***** Warning: Loss has increased *****
Loss at iteration [54]: 0.0061991051168227155
Loss at iteration [55]: 0.005993251546233074
Loss at iteration [56]: 0.005657142065418437
Loss at iteration [57]: 0.005244411399233727
Loss at iteration [58]: 0.004800356586514206
Loss at iteration [59]: 0.004370796679811055
Loss at iteration [60]: 0.003990151250637607
Loss at iteration [61]: 0.003678110567369507
Loss at iteration [62]: 0.003445881564564947
Loss at iteration [63]: 0.003294698651621657
Loss at iteration [64]: 0.003218280231426671
Loss at iteration [65]: 0.0032014478128548117
Loss at iteration [66]: 0.0032217977684746877
***** Warning: Loss has increased *****
Loss at iteration [67]: 0.003256900459989144
***** Warning: Loss has increased *****
Loss at iteration [68]: 0.0032871363948417825
***** Warning: Loss has increased *****
Loss at iteration [69]: 0.003297774050349176
***** Warning: Loss has increased *****
Loss at iteration [70]: 0.003280468637727942
Loss at iteration [71]: 0.003233081818329903
Loss at iteration [72]: 0.003159747397736242
Loss at iteration [73]: 0.003069456639823854
Loss at iteration [74]: 0.002973926163170094
Loss at iteration [75]: 0.002884167236920765
Loss at iteration [76]: 0.002809697170715426
Loss at iteration [77]: 0.002756426106870337
Loss at iteration [78]: 0.0027261255530337566
Loss at iteration [79]: 0.0027163592034191645
Loss at iteration [80]: 0.0027212229294497656
***** Warning: Loss has increased *****
Loss at iteration [81]: 0.0027338769874714294
***** Warning: Loss has increased *****
Loss at iteration [82]: 0.002747195359526573
***** Warning: Loss has increased *****
Loss at iteration [83]: 0.002755763016342337
***** Warning: Loss has increased *****
Loss at iteration [84]: 0.00275617376821629
***** Warning: Loss has increased *****
Loss at iteration [85]: 0.0027475747743294647
Loss at iteration [86]: 0.002731143903363574
Loss at iteration [87]: 0.0027096572869157887
Loss at iteration [88]: 0.002686429906170563
Loss at iteration [89]: 0.002664905863243166
Loss at iteration [90]: 0.0026474401459114956
Loss at iteration [91]: 0.0026356808310215776
Loss at iteration [92]: 0.0026296642139232236
Loss at iteration [93]: 0.0026292361947839104
Loss at iteration [94]: 0.002631924247566252
***** Warning: Loss has increased *****
Loss at iteration [95]: 0.0026351722689507123
***** Warning: Loss has increased *****
Loss at iteration [96]: 0.0026367467885252765
***** Warning: Loss has increased *****
Loss at iteration [97]: 0.002635656459741874
Loss at iteration [98]: 0.0026318870791794545
Loss at iteration [99]: 0.0026263609438577653
Loss at iteration [100]: 0.0026197427900282555
Loss at iteration [101]: 0.002612577308564148
Loss at iteration [102]: 0.002605964756911672
Loss at iteration [103]: 0.0026006396841273378
Loss at iteration [104]: 0.0025968031923502615
Loss at iteration [105]: 0.002594374646837747
Loss at iteration [106]: 0.0025930197174760384
Loss at iteration [107]: 0.0025922993445694005
Loss at iteration [108]: 0.002591575444418351
Loss at iteration [109]: 0.0025904155474398972
Loss at iteration [110]: 0.002588558959979042
Loss at iteration [111]: 0.0025860082992471465
Loss at iteration [112]: 0.002582945713461072
Loss at iteration [113]: 0.0025796157930092272
Loss at iteration [114]: 0.002576302940879899
Loss at iteration [115]: 0.0025733411261000525
Loss at iteration [116]: 0.0025708849500759297
Loss at iteration [117]: 0.0025689629345705778
Loss at iteration [118]: 0.0025674564821648524
Loss at iteration [119]: 0.0025662851316700704
Loss at iteration [120]: 0.0025652292772813546
Loss at iteration [121]: 0.0025640830189728337
Loss at iteration [122]: 0.0025627506777410086
Loss at iteration [123]: 0.0025612347200221156
Loss at iteration [124]: 0.0025595835134049373
Loss at iteration [125]: 0.002557870078342007
Loss at iteration [126]: 0.002556200019834256
Loss at iteration [127]: 0.002554673321834423
Loss at iteration [128]: 0.002553330800956254
Loss at iteration [129]: 0.0025521080664350874
Loss at iteration [130]: 0.0025509894240978268
Loss at iteration [131]: 0.0025499616056764893
Loss at iteration [132]: 0.002548974542667239
Loss at iteration [133]: 0.0025479777096340194
Loss at iteration [134]: 0.0025469427160470237
Loss at iteration [135]: 0.002545885799662341
Loss at iteration [136]: 0.002544792891079206
Loss at iteration [137]: 0.0025436930079087037
Loss at iteration [138]: 0.002542615618952874
Loss at iteration [139]: 0.0025415924130776897
Loss at iteration [140]: 0.002540636020333429
