Model name                            : MLP_Multistep
The number of input features          : 5
The number of output features         : 2
Optimizer name                        : Adam
Learning rate                         : 0.01
Max number of iterations              : 3000
Number of samples in training data    : 122
Number of samples in tests data       : 52
Total training time                   : 3.7796902656555176
Total number of parameters            : 202302
Percentage of parameters < 1e-9       : 66.3587112337001%
Percentage of parameters < 1e-7       : 66.3587112337001%
Percentage of parameters < 1e-6       : 66.35969985467271%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 1.5384987587413566
Loss at iteration [2]: 1.1841511283940356
Loss at iteration [3]: 5.335645640765347
***** Warning: Loss has increased *****
Loss at iteration [4]: 1.6141270300579147
Loss at iteration [5]: 1.0816302786961893
Loss at iteration [6]: 1.0356796419558294
Loss at iteration [7]: 0.9664329881121071
Loss at iteration [8]: 0.8867524626241869
Loss at iteration [9]: 0.8318163843432387
Loss at iteration [10]: 0.7811452616679062
Loss at iteration [11]: 0.7230242761090921
Loss at iteration [12]: 0.6876652667923924
Loss at iteration [13]: 0.6486948592899237
Loss at iteration [14]: 0.6090850979269145
Loss at iteration [15]: 0.5781702220384738
Loss at iteration [16]: 0.5613897932391039
Loss at iteration [17]: 0.5652598760447712
***** Warning: Loss has increased *****
Loss at iteration [18]: 0.5666140369293573
***** Warning: Loss has increased *****
Loss at iteration [19]: 0.5457242013095882
Loss at iteration [20]: 0.5229009066955631
Loss at iteration [21]: 0.5119874426865598
Loss at iteration [22]: 0.5097140162617252
Loss at iteration [23]: 0.5056091259036475
Loss at iteration [24]: 0.49734857655846737
Loss at iteration [25]: 0.48816956269991063
Loss at iteration [26]: 0.4757507635609425
Loss at iteration [27]: 0.4568429253751396
Loss at iteration [28]: 0.437118095290552
Loss at iteration [29]: 0.4188223760487961
Loss at iteration [30]: 0.40205897997998535
Loss at iteration [31]: 0.3851363307850782
Loss at iteration [32]: 0.36844386406628027
Loss at iteration [33]: 0.3649294405033379
Loss at iteration [34]: 0.3734326074440503
***** Warning: Loss has increased *****
Loss at iteration [35]: 0.36901137492055686
Loss at iteration [36]: 0.3161206857322577
Loss at iteration [37]: 0.2697938695081148
Loss at iteration [38]: 0.3027520314024523
***** Warning: Loss has increased *****
Loss at iteration [39]: 0.2694566134880526
Loss at iteration [40]: 0.2317970141391497
Loss at iteration [41]: 0.2577270152478374
***** Warning: Loss has increased *****
Loss at iteration [42]: 0.21988405746532605
Loss at iteration [43]: 0.20636474938401825
Loss at iteration [44]: 0.22066025236638642
***** Warning: Loss has increased *****
Loss at iteration [45]: 0.18339455528647133
Loss at iteration [46]: 0.18894912679468642
***** Warning: Loss has increased *****
Loss at iteration [47]: 0.19507306363828306
***** Warning: Loss has increased *****
Loss at iteration [48]: 0.16210479339807304
Loss at iteration [49]: 0.17688650350959306
***** Warning: Loss has increased *****
Loss at iteration [50]: 0.17152271756357784
Loss at iteration [51]: 0.15076572414233647
Loss at iteration [52]: 0.17221558935977133
***** Warning: Loss has increased *****
Loss at iteration [53]: 0.16098119351130308
Loss at iteration [54]: 0.14198167225260086
Loss at iteration [55]: 0.16692188548870873
***** Warning: Loss has increased *****
Loss at iteration [56]: 0.1521697856733074
Loss at iteration [57]: 0.1358974358479884
Loss at iteration [58]: 0.15614569150214902
***** Warning: Loss has increased *****
Loss at iteration [59]: 0.1344364462031849
Loss at iteration [60]: 0.13540897953500858
***** Warning: Loss has increased *****
Loss at iteration [61]: 0.13861838531419424
***** Warning: Loss has increased *****
Loss at iteration [62]: 0.12361824328575394
Loss at iteration [63]: 0.1324937472807271
***** Warning: Loss has increased *****
Loss at iteration [64]: 0.12206036605590236
Loss at iteration [65]: 0.1259533952017878
***** Warning: Loss has increased *****
Loss at iteration [66]: 0.12411341733885908
Loss at iteration [67]: 0.11817894358345529
Loss at iteration [68]: 0.12262707915947252
***** Warning: Loss has increased *****
Loss at iteration [69]: 0.11429658124033748
Loss at iteration [70]: 0.11485745759998008
***** Warning: Loss has increased *****
Loss at iteration [71]: 0.11428018582993281
Loss at iteration [72]: 0.10867500582060083
Loss at iteration [73]: 0.11133081397212082
***** Warning: Loss has increased *****
Loss at iteration [74]: 0.1081703664965875
Loss at iteration [75]: 0.10697809743233876
Loss at iteration [76]: 0.10642419474342024
Loss at iteration [77]: 0.10320456887617525
Loss at iteration [78]: 0.10346401389038602
***** Warning: Loss has increased *****
Loss at iteration [79]: 0.1008410316894206
Loss at iteration [80]: 0.09962986327296582
Loss at iteration [81]: 0.09930028758762482
Loss at iteration [82]: 0.0971071567909476
Loss at iteration [83]: 0.09643833273694452
Loss at iteration [84]: 0.09530068026233598
Loss at iteration [85]: 0.09300850216376763
Loss at iteration [86]: 0.09208828264911559
Loss at iteration [87]: 0.0915956024804806
Loss at iteration [88]: 0.0903225001707279
Loss at iteration [89]: 0.08823793667072502
Loss at iteration [90]: 0.08728575065454325
Loss at iteration [91]: 0.08649983962256397
Loss at iteration [92]: 0.0848236882767326
Loss at iteration [93]: 0.08365900862112687
Loss at iteration [94]: 0.08275375381093784
Loss at iteration [95]: 0.08187183430694704
Loss at iteration [96]: 0.08017332158970993
Loss at iteration [97]: 0.07888695190221244
Loss at iteration [98]: 0.07815241213767082
Loss at iteration [99]: 0.0763777997025818
Loss at iteration [100]: 0.07503244754189158
Loss at iteration [101]: 0.07469044883763919
Loss at iteration [102]: 0.07462993626602138
Loss at iteration [103]: 0.07753859701009072
***** Warning: Loss has increased *****
Loss at iteration [104]: 0.09629554690688845
***** Warning: Loss has increased *****
Loss at iteration [105]: 0.15369202186904818
***** Warning: Loss has increased *****
Loss at iteration [106]: 0.30600151724260466
***** Warning: Loss has increased *****
Loss at iteration [107]: 0.1999715394407946
Loss at iteration [108]: 0.09499908935957162
Loss at iteration [109]: 0.17457927204591903
***** Warning: Loss has increased *****
Loss at iteration [110]: 0.10277815845259544
Loss at iteration [111]: 0.1518711254373194
***** Warning: Loss has increased *****
Loss at iteration [112]: 0.10721889894039738
Loss at iteration [113]: 0.12541075866231743
***** Warning: Loss has increased *****
Loss at iteration [114]: 0.09250221764186649
Loss at iteration [115]: 0.11885988652941745
***** Warning: Loss has increased *****
Loss at iteration [116]: 0.08554641006955976
Loss at iteration [117]: 0.10736420461441477
***** Warning: Loss has increased *****
Loss at iteration [118]: 0.08411234495223449
Loss at iteration [119]: 0.10250580965339812
***** Warning: Loss has increased *****
Loss at iteration [120]: 0.08080152442768351
Loss at iteration [121]: 0.09376796402779213
***** Warning: Loss has increased *****
Loss at iteration [122]: 0.08343818661848007
Loss at iteration [123]: 0.08187983054203309
Loss at iteration [124]: 0.08229845086286075
***** Warning: Loss has increased *****
Loss at iteration [125]: 0.08096675024727179
Loss at iteration [126]: 0.07706258643942099
Loss at iteration [127]: 0.0791717247753141
***** Warning: Loss has increased *****
Loss at iteration [128]: 0.07451607397473238
Loss at iteration [129]: 0.0757539800856234
***** Warning: Loss has increased *****
Loss at iteration [130]: 0.07119227741457178
Loss at iteration [131]: 0.07268688904776989
***** Warning: Loss has increased *****
Loss at iteration [132]: 0.06937355672592228
Loss at iteration [133]: 0.06926432828120195
Loss at iteration [134]: 0.06906551042836001
Loss at iteration [135]: 0.06568104117480866
Loss at iteration [136]: 0.0662391187710183
***** Warning: Loss has increased *****
Loss at iteration [137]: 0.06351860854932094
Loss at iteration [138]: 0.06516246792393872
***** Warning: Loss has increased *****
Loss at iteration [139]: 0.0619318024411382
Loss at iteration [140]: 0.06331537622349892
***** Warning: Loss has increased *****
Loss at iteration [141]: 0.06019266865197169
Loss at iteration [142]: 0.05995728279196409
Loss at iteration [143]: 0.06006067638810567
***** Warning: Loss has increased *****
Loss at iteration [144]: 0.05830641330750638
Loss at iteration [145]: 0.0587520253539725
***** Warning: Loss has increased *****
Loss at iteration [146]: 0.057668764515092584
Loss at iteration [147]: 0.05649970470389128
Loss at iteration [148]: 0.05709768295616493
***** Warning: Loss has increased *****
Loss at iteration [149]: 0.05607222633344613
Loss at iteration [150]: 0.054857213986916335
Loss at iteration [151]: 0.05539179564044807
***** Warning: Loss has increased *****
Loss at iteration [152]: 0.055172701403036296
Loss at iteration [153]: 0.05392085453485463
Loss at iteration [154]: 0.053399693767745164
Loss at iteration [155]: 0.05374850952336387
***** Warning: Loss has increased *****
