Model name                            : MLP_Large
The number of input features          : 2
The number of output features         : 1
Optimizer name                        : NonlinearCG
Learning rate                         : 0.0001
Beta type                             :HS
Total number of function evaluations  : 3050
Total number of iterations            : 598
Max number of iterations              : 3000
Number of samples in training data    : 858
Number of samples in tests data       : 368
Total training time                   : 41.745654821395874
Total number of parameters            : 402001
Percentage of parameters < 1e-9       : 50.10435297424634%
Percentage of parameters < 1e-7       : 50.10460172984644%
Percentage of parameters < 1e-6       : 50.10534799664678%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 0.010446211058619863
Loss at iteration [2]: 0.008620884623822189
Loss at iteration [3]: 0.007883505210272352
Loss at iteration [4]: 0.004683253888339212
Loss at iteration [5]: 0.004251505236754971
Loss at iteration [6]: 0.0040984577473268426
Loss at iteration [7]: 0.003379979524687927
Loss at iteration [8]: 0.003379979524687927
Loss at iteration [9]: 0.0033286848504004186
Loss at iteration [10]: 0.0032283414717133078
Loss at iteration [11]: 0.0030504386293521346
Loss at iteration [12]: 0.003013436223074914
Loss at iteration [13]: 0.002982265467906316
Loss at iteration [14]: 0.0028433089830811374
Loss at iteration [15]: 0.0028433089830811374
Loss at iteration [16]: 0.0027991298864935084
Loss at iteration [17]: 0.002794904788569605
Loss at iteration [18]: 0.0025899835312086584
Loss at iteration [19]: 0.002573195091373568
Loss at iteration [20]: 0.002567851341357881
Loss at iteration [21]: 0.002567851341357881
Loss at iteration [22]: 0.002562946398122044
Loss at iteration [23]: 0.0025557349577107194
Loss at iteration [24]: 0.0025412220445615876
Loss at iteration [25]: 0.00254049205656682
Loss at iteration [26]: 0.0025377434864032366
Loss at iteration [27]: 0.0025335964424716586
Loss at iteration [28]: 0.0025335964424716586
Loss at iteration [29]: 0.0025324962866531712
Loss at iteration [30]: 0.0025311382403547696
Loss at iteration [31]: 0.00252746723961355
Loss at iteration [32]: 0.0025269256997322645
Loss at iteration [33]: 0.0025244689354902514
Loss at iteration [34]: 0.0025244689354902514
Loss at iteration [35]: 0.0025231382645981254
Loss at iteration [36]: 0.0025228465728016187
Loss at iteration [37]: 0.0025060818165256486
Loss at iteration [38]: 0.002505298502465247
Loss at iteration [39]: 0.002504455279103625
Loss at iteration [40]: 0.002504455279103625
Loss at iteration [41]: 0.0025037578148360533
Loss at iteration [42]: 0.0025035556089657986
Loss at iteration [43]: 0.0025032086520810934
Loss at iteration [44]: 0.0025028573021378857
Loss at iteration [45]: 0.002501959619965238
Loss at iteration [46]: 0.0025014419770897447
Loss at iteration [47]: 0.0025014419770897447
Loss at iteration [48]: 0.0025012210691121267
Loss at iteration [49]: 0.002501062202443093
Loss at iteration [50]: 0.0024987952788630583
Loss at iteration [51]: 0.002498387107159829
Loss at iteration [52]: 0.0024966350105968095
Loss at iteration [53]: 0.002491239082239853
Loss at iteration [54]: 0.002491239082239853
Loss at iteration [55]: 0.002490659410050451
Loss at iteration [56]: 0.0024905752980883505
Loss at iteration [57]: 0.0024885931485977195
Loss at iteration [58]: 0.002487895555856102
Loss at iteration [59]: 0.0024877162985035583
Loss at iteration [60]: 0.0024877162985035583
Loss at iteration [61]: 0.0024876013760838484
Loss at iteration [62]: 0.002486725136878481
Loss at iteration [63]: 0.0024863696668952365
Loss at iteration [64]: 0.0024836749620972365
Loss at iteration [65]: 0.002481831030287019
Loss at iteration [66]: 0.002481831030287019
Loss at iteration [67]: 0.0024816091257297878
Loss at iteration [68]: 0.0024799583545761874
Loss at iteration [69]: 0.002479739677245604
Loss at iteration [70]: 0.0024795667133245343
Loss at iteration [71]: 0.0024786549659848176
Loss at iteration [72]: 0.0024786549659848176
Loss at iteration [73]: 0.0024785583110348117
Loss at iteration [74]: 0.002478416267951345
Loss at iteration [75]: 0.0024780503315413463
Loss at iteration [76]: 0.0024779692088834028
Loss at iteration [77]: 0.002477888993591412
Loss at iteration [78]: 0.00247713868324247
Loss at iteration [79]: 0.00247713868324247
Loss at iteration [80]: 0.002477107449782975
Loss at iteration [81]: 0.0024767938906984435
Loss at iteration [82]: 0.002476487277045876
Loss at iteration [83]: 0.00247593171515528
Loss at iteration [84]: 0.002474129867402818
Loss at iteration [85]: 0.002474129867402818
Loss at iteration [86]: 0.0024736081174760935
Loss at iteration [87]: 0.0024733797407784286
Loss at iteration [88]: 0.002472445832069582
Loss at iteration [89]: 0.002472400522789688
Loss at iteration [90]: 0.00247195247163137
Loss at iteration [91]: 0.00247195247163137
Loss at iteration [92]: 0.002471789685948122
Loss at iteration [93]: 0.0024716583196878576
Loss at iteration [94]: 0.0024714136355805587
Loss at iteration [95]: 0.0024713198916318656
Loss at iteration [96]: 0.002470071875764354
Loss at iteration [97]: 0.002470071875764354
Loss at iteration [98]: 0.0024698203956276497
Loss at iteration [99]: 0.0024693660357231442
Loss at iteration [100]: 0.0024691301807862973
Loss at iteration [101]: 0.002468671031569181
Loss at iteration [102]: 0.002468391253697768
Loss at iteration [103]: 0.002468391253697768
Loss at iteration [104]: 0.0024682965833213825
Loss at iteration [105]: 0.002468062518798934
Loss at iteration [106]: 0.002467997060554844
Loss at iteration [107]: 0.0024674630582346433
Loss at iteration [108]: 0.002466227422408975
Loss at iteration [109]: 0.002466227422408975
Loss at iteration [110]: 0.0024661306440422735
Loss at iteration [111]: 0.0024659787765533487
Loss at iteration [112]: 0.0024656084970551043
Loss at iteration [113]: 0.002465548193971206
Loss at iteration [114]: 0.002465219986233793
Loss at iteration [115]: 0.002465219986233793
Loss at iteration [116]: 0.002465142110654709
Loss at iteration [117]: 0.002465112548070109
Loss at iteration [118]: 0.0024647639735362646
Loss at iteration [119]: 0.00246470856146623
Loss at iteration [120]: 0.0024646189401868294
Loss at iteration [121]: 0.0024641101826108295
Loss at iteration [122]: 0.0024641101826108295
Loss at iteration [123]: 0.002464027503443762
Loss at iteration [124]: 0.0024640008390451533
Loss at iteration [125]: 0.0024637932324091216
Loss at iteration [126]: 0.002463772322933021
Loss at iteration [127]: 0.0024635944103875798
Loss at iteration [128]: 0.0024633631573775625
Loss at iteration [129]: 0.0024633631573775625
Loss at iteration [130]: 0.0024632948572344063
