Model name                            : MLP_Large
The number of input features          : 2
The number of output features         : 1
Optimizer name                        : NonlinearCG
Learning rate                         : 0.1
Beta type                             :FR_PR
Total number of function evaluations  : 3047
Total number of iterations            : 1807
Max number of iterations              : 3000
Number of samples in training data    : 858
Number of samples in tests data       : 368
Total training time                   : 45.81580591201782
Total number of parameters            : 402001
Percentage of parameters < 1e-9       : 49.94937823537752%
Percentage of parameters < 1e-7       : 49.949626990977634%
Percentage of parameters < 1e-6       : 49.95062201337808%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 0.0026139572256673876
Loss at iteration [2]: 0.00260781550359877
Loss at iteration [3]: 0.0026061718006908843
Loss at iteration [4]: 0.0025747071149102574
Loss at iteration [5]: 0.0025735080820135955
Loss at iteration [6]: 0.0025671519673123215
Loss at iteration [7]: 0.0025661798212381413
Loss at iteration [8]: 0.0025652480062444234
Loss at iteration [9]: 0.002562770103427628
Loss at iteration [10]: 0.0025542421775189453
Loss at iteration [11]: 0.0025439166253053455
Loss at iteration [12]: 0.0025394795924326397
Loss at iteration [13]: 0.0025376147645419602
Loss at iteration [14]: 0.002536252812908969
Loss at iteration [15]: 0.0025349931770067813
Loss at iteration [16]: 0.0025275582975961912
Loss at iteration [17]: 0.0025275582975961912
Loss at iteration [18]: 0.00252576031457271
Loss at iteration [19]: 0.002525459870588664
Loss at iteration [20]: 0.002523261796273138
Loss at iteration [21]: 0.0025215320767467833
Loss at iteration [22]: 0.0025210926626337117
Loss at iteration [23]: 0.002519063222282204
Loss at iteration [24]: 0.002517196766287595
Loss at iteration [25]: 0.0025165326576047768
Loss at iteration [26]: 0.0025133314593137127
Loss at iteration [27]: 0.0025115187054247654
Loss at iteration [28]: 0.002503982793581256
Loss at iteration [29]: 0.0024994753708703302
Loss at iteration [30]: 0.002498785629852051
Loss at iteration [31]: 0.0024982619865764727
Loss at iteration [32]: 0.0024965313597468623
Loss at iteration [33]: 0.0024965313597468623
Loss at iteration [34]: 0.0024949793244295943
Loss at iteration [35]: 0.002494703827684991
Loss at iteration [36]: 0.0024928673080301792
Loss at iteration [37]: 0.0024918140594182786
Loss at iteration [38]: 0.002488053282838078
Loss at iteration [39]: 0.002487805519216954
Loss at iteration [40]: 0.0024876589449626054
Loss at iteration [41]: 0.0024872212872354546
Loss at iteration [42]: 0.002486843568404606
Loss at iteration [43]: 0.0024866837491206123
Loss at iteration [44]: 0.0024861353467897375
Loss at iteration [45]: 0.002484255241746924
Loss at iteration [46]: 0.002484255241746924
Loss at iteration [47]: 0.0024841000050609885
Loss at iteration [48]: 0.0024833295057588114
Loss at iteration [49]: 0.002482849920327906
Loss at iteration [50]: 0.0024826058868258234
Loss at iteration [51]: 0.002482055060145681
Loss at iteration [52]: 0.0024818662309317127
Loss at iteration [53]: 0.002481746966599183
Loss at iteration [54]: 0.0024814324543990197
Loss at iteration [55]: 0.0024812529809140472
Loss at iteration [56]: 0.002480820210122806
Loss at iteration [57]: 0.002478371682343275
Loss at iteration [58]: 0.0024774645183273576
Loss at iteration [59]: 0.002477130834698208
Loss at iteration [60]: 0.0024747818871687587
Loss at iteration [61]: 0.0024738177932040937
Loss at iteration [62]: 0.0024731926192637713
Loss at iteration [63]: 0.0024703727440405013
Loss at iteration [64]: 0.0024703727440405013
Loss at iteration [65]: 0.002468896710685568
Loss at iteration [66]: 0.0024687025939220397
