Model name                            : MLP
The number of input features          : 2
The number of output features         : 1
Optimizer name                        : NonlinearCG
Learning rate                         : 0.001
Beta type                             :FR_PR
Total number of function evaluations  : 3032
Total number of iterations            : 774
Max number of iterations              : 3000
Number of samples in training data    : 858
Number of samples in tests data       : 368
Total training time                   : 13.707183122634888
Total number of parameters            : 101001
Percentage of parameters < 1e-9       : 50.153958871694336%
Percentage of parameters < 1e-7       : 50.153958871694336%
Percentage of parameters < 1e-6       : 50.153958871694336%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 0.00426754994807486
Loss at iteration [2]: 0.004135065075039864
Loss at iteration [3]: 0.0032069500634024947
Loss at iteration [4]: 0.003013808180148762
Loss at iteration [5]: 0.002951319727280223
Loss at iteration [6]: 0.0029298438682932937
Loss at iteration [7]: 0.002909464809571079
Loss at iteration [8]: 0.0028865177021907096
Loss at iteration [9]: 0.0028865177021907096
Loss at iteration [10]: 0.0028781277943590675
Loss at iteration [11]: 0.002862953751068963
Loss at iteration [12]: 0.002820787185493194
Loss at iteration [13]: 0.002808594666127606
Loss at iteration [14]: 0.002791790902000932
Loss at iteration [15]: 0.0026558348755507874
Loss at iteration [16]: 0.002564717866847378
Loss at iteration [17]: 0.002564717866847378
Loss at iteration [18]: 0.0025631857959147806
Loss at iteration [19]: 0.0025586640562967966
Loss at iteration [20]: 0.002552988630890527
Loss at iteration [21]: 0.0025526910873160647
Loss at iteration [22]: 0.0025523032353353637
Loss at iteration [23]: 0.002549572837517705
Loss at iteration [24]: 0.0025439818570951243
Loss at iteration [25]: 0.0025439818570951243
Loss at iteration [26]: 0.0025416267787560644
Loss at iteration [27]: 0.0025400327513688172
Loss at iteration [28]: 0.0025363423511881016
Loss at iteration [29]: 0.0025293754372227952
Loss at iteration [30]: 0.002527726107563429
Loss at iteration [31]: 0.0025272209121678353
Loss at iteration [32]: 0.0025229679002121775
Loss at iteration [33]: 0.0025229679002121775
Loss at iteration [34]: 0.0025203118485982775
Loss at iteration [35]: 0.0025199371109278167
Loss at iteration [36]: 0.0025172190030865104
Loss at iteration [37]: 0.002515248760813562
Loss at iteration [38]: 0.0025150643688853142
Loss at iteration [39]: 0.002513278629647312
Loss at iteration [40]: 0.002513074563218444
Loss at iteration [41]: 0.0025120776145649017
Loss at iteration [42]: 0.0025120776145649017
Loss at iteration [43]: 0.0025110012733216397
Loss at iteration [44]: 0.0025108805396648623
Loss at iteration [45]: 0.002509535858672388
Loss at iteration [46]: 0.0025086504100819995
Loss at iteration [47]: 0.0025085071993389326
Loss at iteration [48]: 0.0025078524531495948
Loss at iteration [49]: 0.002507451503703062
Loss at iteration [50]: 0.002507451503703062
Loss at iteration [51]: 0.0025073146621539997
Loss at iteration [52]: 0.0025070492430903065
Loss at iteration [53]: 0.002506670657386746
Loss at iteration [54]: 0.0025064256826012802
Loss at iteration [55]: 0.0025063153833403714
Loss at iteration [56]: 0.002504625637457006
Loss at iteration [57]: 0.002504160764864235
Loss at iteration [58]: 0.002504160764864235
Loss at iteration [59]: 0.002503970396161233
Loss at iteration [60]: 0.002503124606337816
Loss at iteration [61]: 0.00250297778298289
Loss at iteration [62]: 0.00250056240698811
Loss at iteration [63]: 0.00249744250606946
Loss at iteration [64]: 0.0024911617814999862
Loss at iteration [65]: 0.0024911617814999862
Loss at iteration [66]: 0.0024890211710889504
Loss at iteration [67]: 0.0024887521213057522
Loss at iteration [68]: 0.002487894999526854
Loss at iteration [69]: 0.0024875614564550015
Loss at iteration [70]: 0.0024864406986809732
Loss at iteration [71]: 0.002485778519882985
Loss at iteration [72]: 0.002485778519882985
Loss at iteration [73]: 0.002485591321503273
Loss at iteration [74]: 0.0024855247174656978
Loss at iteration [75]: 0.002484515120879676
Loss at iteration [76]: 0.00248379723708876
Loss at iteration [77]: 0.002483088455831267
Loss at iteration [78]: 0.0024828800036329353
Loss at iteration [79]: 0.0024826260883574554
Loss at iteration [80]: 0.0024826260883574554
Loss at iteration [81]: 0.002482383488812314
Loss at iteration [82]: 0.0024820172798999426
Loss at iteration [83]: 0.002481518940872647
Loss at iteration [84]: 0.0024811053337961933
Loss at iteration [85]: 0.002480950845903336
Loss at iteration [86]: 0.0024808053379472327
Loss at iteration [87]: 0.002480010631527104
Loss at iteration [88]: 0.002480010631527104
Loss at iteration [89]: 0.0024798894800529985
Loss at iteration [90]: 0.0024796966319125834
Loss at iteration [91]: 0.0024789448366551834
Loss at iteration [92]: 0.0024789001774293694
Loss at iteration [93]: 0.0024785234564273684
Loss at iteration [94]: 0.0024782727441103676
Loss at iteration [95]: 0.002478117212636439
Loss at iteration [96]: 0.002478117212636439
Loss at iteration [97]: 0.0024780416232595176
Loss at iteration [98]: 0.002477988210518383
Loss at iteration [99]: 0.0024775222003147234
Loss at iteration [100]: 0.0024774470490016047
Loss at iteration [101]: 0.0024771463325301527
Loss at iteration [102]: 0.002476914224868688
Loss at iteration [103]: 0.0024768599626135064
Loss at iteration [104]: 0.0024768599626135064
Loss at iteration [105]: 0.00247683146549511
Loss at iteration [106]: 0.0024765824539848863
Loss at iteration [107]: 0.0024765041811390842
Loss at iteration [108]: 0.0024764470709770403
Loss at iteration [109]: 0.002474236998368448
Loss at iteration [110]: 0.0024716624261931085
Loss at iteration [111]: 0.0024671036380818794
Loss at iteration [112]: 0.0024671036380818794
Loss at iteration [113]: 0.0024668012500802506
Loss at iteration [114]: 0.002465118519656746
Loss at iteration [115]: 0.0024647904996368502
Loss at iteration [116]: 0.0024646977255940333
Loss at iteration [117]: 0.0024642766809187013
Loss at iteration [118]: 0.0024633850649923078
Loss at iteration [119]: 0.0024632543249648187
Loss at iteration [120]: 0.0024632543249648187
Loss at iteration [121]: 0.002463159480917145
Loss at iteration [122]: 0.00246260737357494
Loss at iteration [123]: 0.0024623773569612756
Loss at iteration [124]: 0.002462294033378116
Loss at iteration [125]: 0.0024621880364986038
Loss at iteration [126]: 0.0024613384173239406
Loss at iteration [127]: 0.00246116695023752
Loss at iteration [128]: 0.00246116695023752
Loss at iteration [129]: 0.0024610120900080924
Loss at iteration [130]: 0.002459994048354203
Loss at iteration [131]: 0.0024599486965741386
Loss at iteration [132]: 0.0024593011256201338
Loss at iteration [133]: 0.0024591250673548534
Loss at iteration [134]: 0.0024590470374847716
Loss at iteration [135]: 0.002458608525822555
Loss at iteration [136]: 0.002458608525822555
Loss at iteration [137]: 0.0024585898720560235
Loss at iteration [138]: 0.002458484630398253
Loss at iteration [139]: 0.002458074685142635
Loss at iteration [140]: 0.002457957045973439
Loss at iteration [141]: 0.002457785794174568
Loss at iteration [142]: 0.0024575195772360485
Loss at iteration [143]: 0.0024575079559526754
Loss at iteration [144]: 0.0024575079559526754
Loss at iteration [145]: 0.002457493453846409
Loss at iteration [146]: 0.0024568236797835037
Loss at iteration [147]: 0.0024564517387817776
Loss at iteration [148]: 0.002456388695652386
Loss at iteration [149]: 0.0024544431622874974
Loss at iteration [150]: 0.002453546800687511
Loss at iteration [151]: 0.002453546800687511
Loss at iteration [152]: 0.002453434098637172
Loss at iteration [153]: 0.0024532968382452807
Loss at iteration [154]: 0.0024529348988429653
Loss at iteration [155]: 0.002452777456318933
Loss at iteration [156]: 0.002452723538277814
Loss at iteration [157]: 0.00245240692001516
Loss at iteration [158]: 0.0024517467921563426
Loss at iteration [159]: 0.0024517467921563426
Loss at iteration [160]: 0.0024515952735635616
Loss at iteration [161]: 0.002451425115946387
Loss at iteration [162]: 0.002450963675482731
Loss at iteration [163]: 0.0024509396524295284
Loss at iteration [164]: 0.002450858834231644
Loss at iteration [165]: 0.002450006576408261
Loss at iteration [166]: 0.0024498328070805364
Loss at iteration [167]: 0.0024498328070805364
Loss at iteration [168]: 0.0024497966396142333
Loss at iteration [169]: 0.002449545849214857
Loss at iteration [170]: 0.0024495127457048595
Loss at iteration [171]: 0.0024494816659990154
Loss at iteration [172]: 0.0024492244372034326
Loss at iteration [173]: 0.0024490664074265757
Loss at iteration [174]: 0.0024490086470793323
Loss at iteration [175]: 0.0024490086470793323
Loss at iteration [176]: 0.0024489769161013
Loss at iteration [177]: 0.002448811309580398
Loss at iteration [178]: 0.0024487167290226284
Loss at iteration [179]: 0.0024486781764142874
Loss at iteration [180]: 0.0024485907607957923
Loss at iteration [181]: 0.0024482849210253673
Loss at iteration [182]: 0.0024481602276519502
Loss at iteration [183]: 0.0024481602276519502
Loss at iteration [184]: 0.0024481166654360875
Loss at iteration [185]: 0.002448070716383197
Loss at iteration [186]: 0.0024479512614864374
Loss at iteration [187]: 0.0024479121921521293
Loss at iteration [188]: 0.0024477702544372167
Loss at iteration [189]: 0.0024477111524030776
Loss at iteration [190]: 0.002447676610944421
Loss at iteration [191]: 0.0024474008124623988
Loss at iteration [192]: 0.0024474008124623988
Loss at iteration [193]: 0.0024472929584235946
Loss at iteration [194]: 0.002447186492187865
Loss at iteration [195]: 0.002446984333767452
Loss at iteration [196]: 0.0024469670702563966
Loss at iteration [197]: 0.0024468923790419246
Loss at iteration [198]: 0.002446867267674947
Loss at iteration [199]: 0.002446867267674947
Loss at iteration [200]: 0.002446851415816445
Loss at iteration [201]: 0.0024467483148643892
Loss at iteration [202]: 0.002446719214985809
Loss at iteration [203]: 0.0024467015549955637
Loss at iteration [204]: 0.002446342076670306
Loss at iteration [205]: 0.0024461437691735816
Loss at iteration [206]: 0.0024460143235306734
Loss at iteration [207]: 0.0024460143235306734
Loss at iteration [208]: 0.002445946076474723
Loss at iteration [209]: 0.0024458459016771803
Loss at iteration [210]: 0.0024455597650848227
Loss at iteration [211]: 0.0024455088445293695
Loss at iteration [212]: 0.0024453779774419033
Loss at iteration [213]: 0.002445299052806291
Loss at iteration [214]: 0.0024452399351802493
Loss at iteration [215]: 0.0024452399351802493
Loss at iteration [216]: 0.0024451991932867923
Loss at iteration [217]: 0.0024448913346306715
Loss at iteration [218]: 0.0024448635381682164
Loss at iteration [219]: 0.0024447938859546805
Loss at iteration [220]: 0.002444608320827729
Loss at iteration [221]: 0.002444572623412782
Loss at iteration [222]: 0.002444380891160311
Loss at iteration [223]: 0.002444380891160311
Loss at iteration [224]: 0.0024442737226928256
Loss at iteration [225]: 0.0024442540968241363
Loss at iteration [226]: 0.002444136072793073
Loss at iteration [227]: 0.0024440715664035256
Loss at iteration [228]: 0.0024439991773275616
Loss at iteration [229]: 0.0024439376030427787
Loss at iteration [230]: 0.00244377911966471
Loss at iteration [231]: 0.00244377911966471
Loss at iteration [232]: 0.002443761729574897
Loss at iteration [233]: 0.002443722501181429
Loss at iteration [234]: 0.0024436366142281713
Loss at iteration [235]: 0.002443611428731648
Loss at iteration [236]: 0.0024435898037284964
Loss at iteration [237]: 0.00244355908109991
Loss at iteration [238]: 0.0024435169036295707
Loss at iteration [239]: 0.0024435169036295707
Loss at iteration [240]: 0.002443501009208252
Loss at iteration [241]: 0.0024434893632596117
Loss at iteration [242]: 0.0024432985089339193
Loss at iteration [243]: 0.002443203019009086
Loss at iteration [244]: 0.002443165270100434
Loss at iteration [245]: 0.002442641968019859
Loss at iteration [246]: 0.0024421515387154803
Loss at iteration [247]: 0.0024421515387154803
Loss at iteration [248]: 0.0024420659906451646
Loss at iteration [249]: 0.002441998400639422
Loss at iteration [250]: 0.002441857941335718
Loss at iteration [251]: 0.002441727152379492
Loss at iteration [252]: 0.0024416989451887137
Loss at iteration [253]: 0.0024416040414563054
