Model name                            : MLP_Large
The number of input features          : 2
The number of output features         : 1
Optimizer name                        : SGD
Learning rate                         : 0.3
Max number of iterations              : 3000
Number of samples in training data    : 858
Number of samples in tests data       : 368
Total training time                   : 36.09625267982483
Total number of parameters            : 402001
Percentage of parameters < 1e-9       : 56.30707386300035%
Percentage of parameters < 1e-7       : 56.30732261860045%
Percentage of parameters < 1e-6       : 56.308068885400786%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 1.044947597345361
Loss at iteration [2]: 0.13565653199680328
Loss at iteration [3]: 4.019620024283287
***** Warning: Loss has increased *****
Loss at iteration [4]: 3.675105354863359
Loss at iteration [5]: 1.0926979671776742
Loss at iteration [6]: 0.4976850704541652
Loss at iteration [7]: 0.3097353824816702
Loss at iteration [8]: 2.3170686652766648
***** Warning: Loss has increased *****
Loss at iteration [9]: 1.5716629822414543
Loss at iteration [10]: 1.2910426302658868
Loss at iteration [11]: 0.4686535504319126
Loss at iteration [12]: 2.6590440238297584
***** Warning: Loss has increased *****
Loss at iteration [13]: 1.5224211514075379
Loss at iteration [14]: 1.329473991160108
Loss at iteration [15]: 0.9285514293920974
Loss at iteration [16]: 0.7226953829563307
Loss at iteration [17]: 0.33311567452406166
Loss at iteration [18]: 0.3045862886798761
Loss at iteration [19]: 1.385308399417825
***** Warning: Loss has increased *****
Loss at iteration [20]: 0.4442297661490866
Loss at iteration [21]: 0.7834566837564177
***** Warning: Loss has increased *****
Loss at iteration [22]: 1.2551048649953354
***** Warning: Loss has increased *****
Loss at iteration [23]: 0.8358262732791958
Loss at iteration [24]: 0.8410805770754788
***** Warning: Loss has increased *****
Loss at iteration [25]: 0.6661204219263512
Loss at iteration [26]: 0.24046659506932194
Loss at iteration [27]: 0.4664859391415691
***** Warning: Loss has increased *****
Loss at iteration [28]: 1.220885150303534
***** Warning: Loss has increased *****
Loss at iteration [29]: 0.9082236105938913
Loss at iteration [30]: 0.5542198117437164
Loss at iteration [31]: 0.5340138212818767
Loss at iteration [32]: 0.34377228439256635
Loss at iteration [33]: 0.2272111599489886
Loss at iteration [34]: 0.1417191093533852
Loss at iteration [35]: 0.12451950768435542
Loss at iteration [36]: 0.16635744958918702
***** Warning: Loss has increased *****
Loss at iteration [37]: 0.536123323909692
***** Warning: Loss has increased *****
Loss at iteration [38]: 0.9325614260313903
***** Warning: Loss has increased *****
Loss at iteration [39]: 0.2760858977376362
Loss at iteration [40]: 0.35852254051819404
***** Warning: Loss has increased *****
Loss at iteration [41]: 0.2146243668662516
Loss at iteration [42]: 0.1975733515631853
Loss at iteration [43]: 0.1409452093038995
Loss at iteration [44]: 0.10633997638313233
Loss at iteration [45]: 0.07178533356220317
Loss at iteration [46]: 0.04553443985991356
Loss at iteration [47]: 0.03205853598059483
Loss at iteration [48]: 0.02354524686760787
Loss at iteration [49]: 0.016236737211485372
Loss at iteration [50]: 0.010949401497512366
Loss at iteration [51]: 0.009869738178125276
Loss at iteration [52]: 0.012184669736776657
***** Warning: Loss has increased *****
Loss at iteration [53]: 0.02668688761811434
***** Warning: Loss has increased *****
Loss at iteration [54]: 0.050309936592617795
***** Warning: Loss has increased *****
Loss at iteration [55]: 0.14765798288352996
***** Warning: Loss has increased *****
Loss at iteration [56]: 0.03550040864327392
Loss at iteration [57]: 0.014009372267662615
Loss at iteration [58]: 0.008663295636954508
Loss at iteration [59]: 0.010690625382528598
***** Warning: Loss has increased *****
Loss at iteration [60]: 0.007135923457067347
Loss at iteration [61]: 0.004808313124897926
Loss at iteration [62]: 0.004084139972638642
Loss at iteration [63]: 0.0035024363003060485
Loss at iteration [64]: 0.003472361847177698
Loss at iteration [65]: 0.0034128668093735153
Loss at iteration [66]: 0.0033702597995931647
Loss at iteration [67]: 0.003342694835518307
Loss at iteration [68]: 0.003297996943875467
Loss at iteration [69]: 0.003264773667078946
Loss at iteration [70]: 0.0032349165915456593
Loss at iteration [71]: 0.0032091095593109182
Loss at iteration [72]: 0.003187195684089909
Loss at iteration [73]: 0.0031662075730077527
Loss at iteration [74]: 0.0031460205077925695
Loss at iteration [75]: 0.003126708440263714
Loss at iteration [76]: 0.0031083916348340307
Loss at iteration [77]: 0.0030907000265278936
Loss at iteration [78]: 0.0030735627887271337
Loss at iteration [79]: 0.0030565951497906825
Loss at iteration [80]: 0.0030400472394449827
Loss at iteration [81]: 0.0030237883170493416
Loss at iteration [82]: 0.003007715362151243
Loss at iteration [83]: 0.0029920206409907164
Loss at iteration [84]: 0.0029784706306214977
Loss at iteration [85]: 0.0029656082506733707
Loss at iteration [86]: 0.0029533670542552584
Loss at iteration [87]: 0.0029415998107799133
Loss at iteration [88]: 0.0029301669263081895
Loss at iteration [89]: 0.0029192860769704375
Loss at iteration [90]: 0.002908945974595094
Loss at iteration [91]: 0.0028990684494584725
Loss at iteration [92]: 0.0028896438939275252
Loss at iteration [93]: 0.0028807323296049228
