Model name                            : MLP_Multistep
The number of input features          : 3
The number of output features         : 2
Optimizer name                        : SGD
Learning rate                         : 0.001
Max number of iterations              : 3000
Number of samples in training data    : 171
Number of samples in tests data       : 73
Total training time                   : 5.1776487827301025
Total number of parameters            : 201902
Percentage of parameters < 1e-9       : 49.70381670315302%
Percentage of parameters < 1e-7       : 49.70381670315302%
Percentage of parameters < 1e-6       : 49.70480728274113%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 1.5346677934925907
Loss at iteration [2]: 1.5340346718896414
Loss at iteration [3]: 1.5330860345693502
Loss at iteration [4]: 1.5319818843250834
Loss at iteration [5]: 1.530804618097959
Loss at iteration [6]: 1.5295919118727124
Loss at iteration [7]: 1.5283642088001583
Loss at iteration [8]: 1.5271328681807763
Loss at iteration [9]: 1.525903541198488
Loss at iteration [10]: 1.5246759329984323
Loss at iteration [11]: 1.523453785100133
Loss at iteration [12]: 1.5222381263447862
Loss at iteration [13]: 1.5210283943813825
Loss at iteration [14]: 1.5198240392458495
Loss at iteration [15]: 1.5186259683630436
Loss at iteration [16]: 1.5174348585235407
Loss at iteration [17]: 1.5162508174204685
Loss at iteration [18]: 1.5150724126188084
Loss at iteration [19]: 1.5139002566805335
Loss at iteration [20]: 1.5127371384208461
Loss at iteration [21]: 1.5115804985838681
Loss at iteration [22]: 1.5104273144049603
Loss at iteration [23]: 1.5092795366970109
Loss at iteration [24]: 1.508135958711182
Loss at iteration [25]: 1.5070032394107844
Loss at iteration [26]: 1.5058770855553856
Loss at iteration [27]: 1.504755965438196
Loss at iteration [28]: 1.5036421378318605
Loss at iteration [29]: 1.502538169546782
Loss at iteration [30]: 1.5014439898121255
Loss at iteration [31]: 1.5003602482463114
Loss at iteration [32]: 1.499285257624462
Loss at iteration [33]: 1.498216634493385
Loss at iteration [34]: 1.4971549925332188
Loss at iteration [35]: 1.4961014273237896
Loss at iteration [36]: 1.495054543378178
Loss at iteration [37]: 1.4940135836332389
Loss at iteration [38]: 1.4929802678348412
Loss at iteration [39]: 1.4919530059526918
Loss at iteration [40]: 1.4909302904985011
Loss at iteration [41]: 1.489911502583063
Loss at iteration [42]: 1.4888989102171144
Loss at iteration [43]: 1.4878911902165544
Loss at iteration [44]: 1.4868883805154978
Loss at iteration [45]: 1.4858897113223144
Loss at iteration [46]: 1.484894232569191
Loss at iteration [47]: 1.483902457306522
Loss at iteration [48]: 1.4829142610458794
Loss at iteration [49]: 1.4819293837221628
Loss at iteration [50]: 1.4809477500240686
Loss at iteration [51]: 1.4799698803749206
Loss at iteration [52]: 1.4789947812546533
Loss at iteration [53]: 1.4780195445138729
Loss at iteration [54]: 1.4770487873810787
Loss at iteration [55]: 1.4760823016376832
Loss at iteration [56]: 1.4751187539138728
Loss at iteration [57]: 1.47415850362766
Loss at iteration [58]: 1.4732024344414434
Loss at iteration [59]: 1.472250543639884
Loss at iteration [60]: 1.4713028127905765
Loss at iteration [61]: 1.4703588158691137
Loss at iteration [62]: 1.4694197087719794
Loss at iteration [63]: 1.468484624609467
Loss at iteration [64]: 1.4675546421792265
Loss at iteration [65]: 1.4666276006121632
Loss at iteration [66]: 1.4657035569276473
Loss at iteration [67]: 1.4647840628901352
Loss at iteration [68]: 1.4638681683906087
Loss at iteration [69]: 1.4629549053685225
Loss at iteration [70]: 1.4620447692893557
Loss at iteration [71]: 1.461136611587729
Loss at iteration [72]: 1.460230298208613
Loss at iteration [73]: 1.4593248435203376
Loss at iteration [74]: 1.4584214635677561
Loss at iteration [75]: 1.4575192770164325
Loss at iteration [76]: 1.456620791263719
Loss at iteration [77]: 1.4557288716637011
Loss at iteration [78]: 1.4548402173005983
Loss at iteration [79]: 1.4539522582890205
Loss at iteration [80]: 1.4530654940615386
Loss at iteration [81]: 1.4521804296653043
Loss at iteration [82]: 1.4512970237080833
Loss at iteration [83]: 1.4504150676623586
Loss at iteration [84]: 1.449534886029219
Loss at iteration [85]: 1.4486560163776911
Loss at iteration [86]: 1.4477791491213627
Loss at iteration [87]: 1.4469045180656535
Loss at iteration [88]: 1.4460326287297007
Loss at iteration [89]: 1.445163706189943
Loss at iteration [90]: 1.4442948046991997
Loss at iteration [91]: 1.4434289806840408
Loss at iteration [92]: 1.4425641041563682
Loss at iteration [93]: 1.4417004899750892
Loss at iteration [94]: 1.4408385439402775
Loss at iteration [95]: 1.439976605814381
Loss at iteration [96]: 1.4391143039364684
Loss at iteration [97]: 1.4382537484768667
Loss at iteration [98]: 1.4373944963918115
Loss at iteration [99]: 1.436537836098049
Loss at iteration [100]: 1.4356839682311175
Loss at iteration [101]: 1.4348322059129877
Loss at iteration [102]: 1.433980771707942
Loss at iteration [103]: 1.433129042840825
Loss at iteration [104]: 1.4322783376692374
Loss at iteration [105]: 1.431428719119929
Loss at iteration [106]: 1.4305804905693158
Loss at iteration [107]: 1.429733471655388
Loss at iteration [108]: 1.4288873233397532
Loss at iteration [109]: 1.4280398368295095
Loss at iteration [110]: 1.427194075734899
Loss at iteration [111]: 1.4263502111123965
Loss at iteration [112]: 1.4255076485645513
Loss at iteration [113]: 1.4246668108836928
Loss at iteration [114]: 1.4238288182170193
Loss at iteration [115]: 1.4229923544804215
Loss at iteration [116]: 1.4221575307265215
Loss at iteration [117]: 1.42132602000204
Loss at iteration [118]: 1.420498679568309
Loss at iteration [119]: 1.4196736301094897
Loss at iteration [120]: 1.4188512485789198
Loss at iteration [121]: 1.418032294677284
Loss at iteration [122]: 1.4172164882817126
Loss at iteration [123]: 1.4164041470992361
Loss at iteration [124]: 1.4155939858066249
Loss at iteration [125]: 1.4147855927022013
Loss at iteration [126]: 1.4139796918691145
Loss at iteration [127]: 1.413176889571535
Loss at iteration [128]: 1.412376106600933
Loss at iteration [129]: 1.4115779980691345
Loss at iteration [130]: 1.4107820561040794
Loss at iteration [131]: 1.4099882266900812
Loss at iteration [132]: 1.409195597348064
Loss at iteration [133]: 1.4084052173796022
Loss at iteration [134]: 1.4076188821561284
Loss at iteration [135]: 1.4068345411763672
Loss at iteration [136]: 1.406053146701722
Loss at iteration [137]: 1.4052743593786783
Loss at iteration [138]: 1.4044968817423682
Loss at iteration [139]: 1.4037212017434213
Loss at iteration [140]: 1.4029470666784731
Loss at iteration [141]: 1.402174670313841
Loss at iteration [142]: 1.4014039748164182
Loss at iteration [143]: 1.4006345996127736
Loss at iteration [144]: 1.399866722455462
Loss at iteration [145]: 1.3991007586489876
Loss at iteration [146]: 1.3983360651448178
Loss at iteration [147]: 1.3975730261664445
Loss at iteration [148]: 1.3968118389414452
Loss at iteration [149]: 1.3960502086150433
Loss at iteration [150]: 1.3952861286948384
Loss at iteration [151]: 1.3945211618815894
Loss at iteration [152]: 1.3937572503415605
Loss at iteration [153]: 1.3929953630422327
Loss at iteration [154]: 1.3922348632481847
Loss at iteration [155]: 1.391476222989831
Loss at iteration [156]: 1.390718381759622
Loss at iteration [157]: 1.389962395007399
Loss at iteration [158]: 1.3892085897308812
Loss at iteration [159]: 1.388456666459471
Loss at iteration [160]: 1.3877064585733219
Loss at iteration [161]: 1.386959137135118
Loss at iteration [162]: 1.3862136845840105
Loss at iteration [163]: 1.38547179850559
Loss at iteration [164]: 1.384731971217367
Loss at iteration [165]: 1.3839944515577347
Loss at iteration [166]: 1.3832594673655454
Loss at iteration [167]: 1.3825264749280612
Loss at iteration [168]: 1.3817958249103792
Loss at iteration [169]: 1.3810669492010106
Loss at iteration [170]: 1.3803389965257895
Loss at iteration [171]: 1.3796121684396259
Loss at iteration [172]: 1.378886624705331
Loss at iteration [173]: 1.3781625108786364
Loss at iteration [174]: 1.377439655189338
Loss at iteration [175]: 1.3767181256000534
Loss at iteration [176]: 1.3759975401287723
Loss at iteration [177]: 1.3752773070432194
Loss at iteration [178]: 1.3745583170806515
Loss at iteration [179]: 1.3738411565751765
Loss at iteration [180]: 1.3731263804561507
Loss at iteration [181]: 1.372413704872705
Loss at iteration [182]: 1.3717029874285265
Loss at iteration [183]: 1.3709957943844828
Loss at iteration [184]: 1.3702907241071034
Loss at iteration [185]: 1.3695876527973903
Loss at iteration [186]: 1.3688890562136211
Loss at iteration [187]: 1.3681944280810183
Loss at iteration [188]: 1.367502929204393
Loss at iteration [189]: 1.3668140893648069
Loss at iteration [190]: 1.3661269609873585
Loss at iteration [191]: 1.3654420696267324
Loss at iteration [192]: 1.3647589530255273
Loss at iteration [193]: 1.3640762798545536
Loss at iteration [194]: 1.3633951291415964
Loss at iteration [195]: 1.3627162334567213
Loss at iteration [196]: 1.36203931942193
Loss at iteration [197]: 1.3613647228075223
Loss at iteration [198]: 1.3606936226341453
Loss at iteration [199]: 1.3600248538168767
Loss at iteration [200]: 1.3593580768228566
Loss at iteration [201]: 1.3586935495097656
Loss at iteration [202]: 1.3580310409948753
Loss at iteration [203]: 1.357368051768906
Loss at iteration [204]: 1.3567086641725106
Loss at iteration [205]: 1.3560523336781907
Loss at iteration [206]: 1.355398886990457
Loss at iteration [207]: 1.3547482031585865
Loss at iteration [208]: 1.35410004053136
Loss at iteration [209]: 1.3534540155863222
Loss at iteration [210]: 1.3528091790128487
Loss at iteration [211]: 1.3521663253285896
Loss at iteration [212]: 1.3515255768543941
Loss at iteration [213]: 1.3508870003670694
Loss at iteration [214]: 1.3502508212383741
Loss at iteration [215]: 1.3496172851253894
Loss at iteration [216]: 1.3489854483812165
Loss at iteration [217]: 1.3483540371716758
Loss at iteration [218]: 1.347724304978961
