Model name                            : MLP_Multistep
The number of input features          : 3
The number of output features         : 2
Optimizer name                        : SGD
Learning rate                         : 0.3
Max number of iterations              : 3000
Number of samples in training data    : 171
Number of samples in tests data       : 73
Total training time                   : 4.856489658355713
Total number of parameters            : 201902
Percentage of parameters < 1e-9       : 53.13468910659627%
Percentage of parameters < 1e-7       : 53.13468910659627%
Percentage of parameters < 1e-6       : 53.13518439639032%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 1.58849798434257
Loss at iteration [2]: 1.4184567793097627
Loss at iteration [3]: 1.2857549181086316
Loss at iteration [4]: 1.2852027872842247
Loss at iteration [5]: 1.2654181374018918
Loss at iteration [6]: 1.2602537030151146
Loss at iteration [7]: 1.2564084516345586
Loss at iteration [8]: 1.2504882910592836
Loss at iteration [9]: 1.2477365913008236
Loss at iteration [10]: 1.2437427083369867
Loss at iteration [11]: 1.240702416989253
Loss at iteration [12]: 1.2368754769372001
Loss at iteration [13]: 1.233152483607599
Loss at iteration [14]: 1.2292053288510247
Loss at iteration [15]: 1.2247145618606878
Loss at iteration [16]: 1.220093377454814
Loss at iteration [17]: 1.2148668216342742
Loss at iteration [18]: 1.2094206119374995
Loss at iteration [19]: 1.2036049603993937
Loss at iteration [20]: 1.1984158016448814
Loss at iteration [21]: 1.2079303003535315
***** Warning: Loss has increased *****
Loss at iteration [22]: 1.351494428348889
***** Warning: Loss has increased *****
Loss at iteration [23]: 1.8241546695022426
***** Warning: Loss has increased *****
Loss at iteration [24]: 1.4881818310509056
Loss at iteration [25]: 1.4392568706793833
Loss at iteration [26]: 1.2956627989327358
Loss at iteration [27]: 1.3117244797017802
***** Warning: Loss has increased *****
Loss at iteration [28]: 1.267900974901618
Loss at iteration [29]: 1.2701640723141876
***** Warning: Loss has increased *****
Loss at iteration [30]: 1.259995703828736
Loss at iteration [31]: 1.2575308028251604
Loss at iteration [32]: 1.2530943212441918
Loss at iteration [33]: 1.2493877384728382
Loss at iteration [34]: 1.24632515864809
Loss at iteration [35]: 1.2427177468226567
Loss at iteration [36]: 1.2399159764490877
Loss at iteration [37]: 1.236995047618686
Loss at iteration [38]: 1.2337354506023035
Loss at iteration [39]: 1.2301600345656711
Loss at iteration [40]: 1.2268725874781299
Loss at iteration [41]: 1.2225274366416308
Loss at iteration [42]: 1.2184155229048983
Loss at iteration [43]: 1.2135068031906169
Loss at iteration [44]: 1.2099396682063925
Loss at iteration [45]: 1.2100321008125787
***** Warning: Loss has increased *****
Loss at iteration [46]: 1.2231330785231553
***** Warning: Loss has increased *****
Loss at iteration [47]: 1.2607409614700706
***** Warning: Loss has increased *****
Loss at iteration [48]: 1.3394611744130032
***** Warning: Loss has increased *****
Loss at iteration [49]: 1.2346780874372656
Loss at iteration [50]: 1.2283276559666207
Loss at iteration [51]: 1.2106054671863289
Loss at iteration [52]: 1.1955018458840438
Loss at iteration [53]: 1.1840563644634647
Loss at iteration [54]: 1.175778985782641
Loss at iteration [55]: 1.1670412743679597
Loss at iteration [56]: 1.1573627413326761
Loss at iteration [57]: 1.1491478859609192
Loss at iteration [58]: 1.1454966241689777
Loss at iteration [59]: 1.1687034382326449
***** Warning: Loss has increased *****
Loss at iteration [60]: 1.207401513174139
***** Warning: Loss has increased *****
Loss at iteration [61]: 1.2071098668797755
Loss at iteration [62]: 1.1992966922722363
Loss at iteration [63]: 1.1211397872538607
Loss at iteration [64]: 1.1115249294210543
Loss at iteration [65]: 1.1508657620720357
***** Warning: Loss has increased *****
Loss at iteration [66]: 1.2243396810868261
***** Warning: Loss has increased *****
Loss at iteration [67]: 1.3572222746007117
***** Warning: Loss has increased *****
Loss at iteration [68]: 1.1975595248764863
Loss at iteration [69]: 1.1190760815544214
Loss at iteration [70]: 1.127142010497746
***** Warning: Loss has increased *****
Loss at iteration [71]: 1.0861227440688086
Loss at iteration [72]: 1.0637280857237195
Loss at iteration [73]: 1.0825136692066475
***** Warning: Loss has increased *****
Loss at iteration [74]: 1.0674169177155217
Loss at iteration [75]: 1.1367481042187741
***** Warning: Loss has increased *****
Loss at iteration [76]: 1.1237900095662114
Loss at iteration [77]: 1.1328161133457564
***** Warning: Loss has increased *****
Loss at iteration [78]: 1.0392262150449518
Loss at iteration [79]: 1.0162930878574008
Loss at iteration [80]: 1.0215838402076665
***** Warning: Loss has increased *****
Loss at iteration [81]: 1.090193965223058
***** Warning: Loss has increased *****
Loss at iteration [82]: 1.0790833771989736
Loss at iteration [83]: 1.143859569051002
***** Warning: Loss has increased *****
Loss at iteration [84]: 0.9913736595370405
Loss at iteration [85]: 1.0078767740312675
***** Warning: Loss has increased *****
Loss at iteration [86]: 0.9432591893954041
Loss at iteration [87]: 0.9381766217771168
Loss at iteration [88]: 0.9740211756421304
