Model name                            : MLP
The number of input features          : 2
The number of output features         : 1
Optimizer name                        : SGD
Learning rate                         : 0.3
Max number of iterations              : 3000
Number of samples in training data    : 858
Number of samples in tests data       : 368
Total training time                   : 0.6485850811004639
Total number of parameters            : 101001
Percentage of parameters < 1e-9       : 56.14894902030672%
Percentage of parameters < 1e-7       : 56.14894902030672%
Percentage of parameters < 1e-6       : 56.14894902030672%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [1]: 0.9361305705134577
Loss at iteration [2]: 0.10254302613101807
Loss at iteration [3]: 1.0446986357457388
***** Warning: Loss has increased *****
Loss at iteration [4]: 1.0532515456635816
***** Warning: Loss has increased *****
Loss at iteration [5]: 1.5079095957478632
***** Warning: Loss has increased *****
Loss at iteration [6]: 1.3687631453806965
Loss at iteration [7]: 1.1745229607310435
Loss at iteration [8]: 0.83774443412544
Loss at iteration [9]: 0.38896498938594687
Loss at iteration [10]: 0.32057977467686455
Loss at iteration [11]: 2.082295877236409
***** Warning: Loss has increased *****
Loss at iteration [12]: 0.9999658784654123
Loss at iteration [13]: 1.1351241385661341
***** Warning: Loss has increased *****
Loss at iteration [14]: 1.0355717577073176
Loss at iteration [15]: 0.8319308152701416
Loss at iteration [16]: 0.5295591608971065
Loss at iteration [17]: 0.43233284087849655
Loss at iteration [18]: 1.4354456500732817
***** Warning: Loss has increased *****
Loss at iteration [19]: 0.2415489991159704
Loss at iteration [20]: 1.629117693547774
***** Warning: Loss has increased *****
Loss at iteration [21]: 1.9040194608859964
***** Warning: Loss has increased *****
Loss at iteration [22]: 1.0235794131627536
Loss at iteration [23]: 0.49062409271725527
Loss at iteration [24]: 0.3511445763648779
Loss at iteration [25]: 1.077613244153971
***** Warning: Loss has increased *****
Loss at iteration [26]: 0.21947710847510954
Loss at iteration [27]: 2.7653159643595355
***** Warning: Loss has increased *****
Loss at iteration [28]: 1.8864397017971704
Loss at iteration [29]: 1.4414115700437764
Loss at iteration [30]: 1.0150110181563725
Loss at iteration [31]: 1.0443513039523253
***** Warning: Loss has increased *****
Loss at iteration [32]: 1.06057316042236
***** Warning: Loss has increased *****
Loss at iteration [33]: 1.0027965388212587
Loss at iteration [34]: 0.9778070084742757
Loss at iteration [35]: 0.962242439878046
Loss at iteration [36]: 0.9169351402039078
Loss at iteration [37]: 0.8204911383425373
Loss at iteration [38]: 0.6282747466003703
Loss at iteration [39]: 0.42844417739734825
Loss at iteration [40]: 0.2892235724818145
Loss at iteration [41]: 0.26714614574407114
Loss at iteration [42]: 0.5194108428383816
***** Warning: Loss has increased *****
Loss at iteration [43]: 1.7630774927783859
***** Warning: Loss has increased *****
Loss at iteration [44]: 3.1389438186966676
***** Warning: Loss has increased *****
Loss at iteration [45]: 1.6826585118582462
Loss at iteration [46]: 0.9693513996667236
Loss at iteration [47]: 1.065282666936229
***** Warning: Loss has increased *****
Loss at iteration [48]: 0.8392835928958648
Loss at iteration [49]: 0.28578420884617817
Loss at iteration [50]: 0.6649899590677285
***** Warning: Loss has increased *****
Loss at iteration [51]: 1.5080762545858406
***** Warning: Loss has increased *****
Loss at iteration [52]: 1.2856749430989343
Loss at iteration [53]: 1.011560890903204
Loss at iteration [54]: 1.029061213457504
***** Warning: Loss has increased *****
Loss at iteration [55]: 1.0429249369681028
***** Warning: Loss has increased *****
Loss at iteration [56]: 1.0102453941673635
Loss at iteration [57]: 1.0001519947252786
Loss at iteration [58]: 1.0038171626239714
***** Warning: Loss has increased *****
Loss at iteration [59]: 1.0024232431999922
Loss at iteration [60]: 1.0001421159930155
Loss at iteration [61]: 1.000077025375419
Loss at iteration [62]: 1.0001890467527925
***** Warning: Loss has increased *****
